Fullname,Course,Score,Experience,StudyProgram,CleanedStudyProgram
Daniel White,Bachelor of Science in Biomedical Science (B.S.),54.0,None,N/A-FT,Campus-FT
David Carlson,Doctor of Dental Surgery (D.D.S.),53.0,surgery,N/A-N/A,Campus-FT
Gregory Wallace,Doctor of Dental Surgery (D.D.S.),68.0,surgery,N/A-N/A,Campus-FT
Jamie Collins,Doctor of Optometry (O.D.),67.0,None,online-PT,Online-PT
Sean Jacobs,Bachelor of Science in Nursing (B.S.N.),74.0,surgery,N/A-PT,Campus-PT
Mark Cervantes,Doctor of Podiatric Medicine (D.P.M.),79.0,nutrition,online-PT,Online-PT
Brittany Hernandez,Doctor of Pharmacy (Pharm.D.),94.0,immunology,campus-PT,Campus-PT
Leslie Rogers,Doctor of Veterinary Medicine (D.V.M.),68.0,None,online-N/A,Online-FT
Christie Vasquez,Doctor of Osteopathic Medicine (D.O.),97.0,surgery,N/A-N/A,Campus-FT
Monica Castro,Doctor of Dental Medicine (D.M.D.),68.0,immunology,campus-PT,Campus-PT
Douglas Kelly,Doctor of Dental Medicine (D.M.D.),75.0,immunology,campus-FT,Campus-FT
Nicholas Ryan,Doctor of Optometry (O.D.),71.0,None,campus-N/A,Campus-FT
Brooke Boyer,Doctor of Podiatric Medicine (D.P.M.),81.0,physiotherapy,N/A-N/A,Campus-FT
Brandon Allen,Bachelor of Science in Nursing (B.S.N.),50.0,dentistry,campus-N/A,Campus-FT
Vanessa Simmons,Doctor of Medicine (M.D.),94.0,nutrition,campus-N/A,Campus-FT
Crystal Lopez,Master of Health Administration (M.H.A.),81.0,nursing,online-PT,Online-PT
Margaret Singleton,Doctor of Pharmacy (Pharm.D.),99.0,nursing,campus-PT,Campus-PT
Tonya Perez,Doctor of Optometry (O.D.),97.0,immunology,N/A-N/A,Campus-FT
Tonya Mitchell,Doctor of Chiropractic (D.C.),84.0,immunology,online-PT,Online-PT
Mrs. Monica Reese,Doctor of Pharmacy (Pharm.D.),67.0,nutrition,campus-FT,Campus-FT
Kathleen Lopez,Doctor of Osteopathic Medicine (D.O.),70.0,nursing,online-FT,Online-FT
Jordan Wade,Doctor of Medicine (M.D.),56.0,dentistry,N/A-PT,Campus-PT
Paul Ramirez,Doctor of Physical Therapy (D.P.T.),61.0,surgery,N/A-FT,Campus-FT
Toni Jones,Master of Public Health (M.P.H.),62.0,physiotherapy,N/A-PT,Campus-PT
Ryan Vargas,Doctor of Veterinary Medicine (D.V.M.),89.0,physiotherapy,campus-PT,Campus-PT
Nancy Mcdonald,Master of Health Administration (M.H.A.),84.0,dentistry,N/A-N/A,Campus-FT
Lauren Ortiz,Doctor of Podiatric Medicine (D.P.M.),94.0,nutrition,N/A-FT,Campus-FT
Michael Williams,Bachelor of Science in Nursing (B.S.N.),58.0,immunology,campus-FT,Campus-FT
Gloria Barnes,Doctor of Optometry (O.D.),66.0,immunology,campus-PT,Campus-PT
Jason Mcdonald,Bachelor of Science in Biomedical Science (B.S.),76.0,immunology,online-FT,Online-FT
Carmen Lam,Doctor of Physical Therapy (D.P.T.),83.0,nursing,N/A-PT,Campus-PT
Jessica Cook,Master of Health Administration (M.H.A.),65.0,nutrition,N/A-PT,Campus-PT
Robert Williams,Doctor of Dental Medicine (D.M.D.),92.0,immunology,online-PT,Online-PT
Alan West,Doctor of Dental Medicine (D.M.D.),85.0,None,N/A-PT,Campus-PT
Michael Fitzgerald,Doctor of Physical Therapy (D.P.T.),68.0,physiotherapy,N/A-FT,Campus-FT
Carolyn Ballard,Master of Public Health (M.P.H.),70.0,surgery,campus-N/A,Campus-FT
Brian Vega,Bachelor of Science in Biomedical Science (B.S.),98.0,surgery,N/A-PT,Campus-PT
Diana Reyes,Bachelor of Science in Nursing (B.S.N.),63.0,immunology,online-N/A,Online-FT
Katherine Mack,Doctor of Medicine (M.D.),70.0,dentistry,campus-PT,Campus-PT
Austin Watkins,Doctor of Medicine (M.D.),89.0,nursing,online-PT,Online-PT
Jason Leblanc,Doctor of Optometry (O.D.),58.0,immunology,N/A-N/A,Campus-FT
Deanna Holmes,Bachelor of Science in Biomedical Science (B.S.),95.0,surgery,N/A-PT,Campus-PT
Rick Rios,Doctor of Physical Therapy (D.P.T.),80.0,dentistry,online-FT,Online-FT
Seth Anderson,Doctor of Medicine (M.D.),54.0,dentistry,N/A-FT,Campus-FT
Mr. Nathan Richard,Doctor of Chiropractic (D.C.),86.0,nutrition,N/A-PT,Campus-PT
Steven Murphy,Bachelor of Science in Biomedical Science (B.S.),57.0,immunology,campus-N/A,Campus-FT
Lance Avery,Doctor of Optometry (O.D.),92.0,dentistry,campus-PT,Campus-PT
Julian Strickland,Doctor of Pharmacy (Pharm.D.),68.0,surgery,N/A-N/A,Campus-FT
Pamela Knight,Doctor of Chiropractic (D.C.),60.0,physiotherapy,online-N/A,Online-FT
David Smith,Master of Public Health (M.P.H.),90.0,nutrition,online-PT,Online-PT
Lance Bender,Doctor of Chiropractic (D.C.),86.0,nutrition,online-PT,Online-PT
Juan Jones,Doctor of Podiatric Medicine (D.P.M.),62.0,nutrition,N/A-N/A,Campus-FT
Mr. Adam Scott,Doctor of Veterinary Medicine (D.V.M.),59.0,physiotherapy,campus-PT,Campus-PT
Debbie Smith,Bachelor of Science in Nursing (B.S.N.),100.0,immunology,online-PT,Online-PT
Joshua Beasley,Doctor of Optometry (O.D.),69.0,immunology,online-FT,Online-FT
Wendy Smith,Bachelor of Science in Biomedical Science (B.S.),59.0,immunology,campus-N/A,Campus-FT
Miss Patricia Davis,Doctor of Nursing Practice (D.N.P.),50.0,None,online-FT,Online-FT
Daniel Harris,Doctor of Medicine (M.D.),100.0,surgery,online-N/A,Online-FT
Daniel Carter,Doctor of Dental Surgery (D.D.S.),70.0,dentistry,N/A-N/A,Campus-FT
William Johnson,Master of Health Administration (M.H.A.),67.0,None,online-N/A,Online-FT
Kelly Davidson,Master of Public Health (M.P.H.),68.0,nursing,online-PT,Online-PT
Evan Brown,Doctor of Dental Surgery (D.D.S.),68.0,nutrition,N/A-FT,Campus-FT
Christopher Lloyd,Doctor of Osteopathic Medicine (D.O.),65.0,immunology,campus-N/A,Campus-FT
Terrence Kelly,Doctor of Medicine (M.D.),66.0,nursing,N/A-PT,Campus-PT
Jenny Ware,Doctor of Dental Surgery (D.D.S.),59.0,None,campus-FT,Campus-FT
Bernard Levine,Doctor of Medicine (M.D.),82.0,dentistry,campus-N/A,Campus-FT
Kyle Herrera,Doctor of Medicine (M.D.),79.0,nursing,online-N/A,Online-FT
Lori Brooks,Master of Health Administration (M.H.A.),80.0,immunology,online-N/A,Online-FT
Veronica Castillo,Doctor of Veterinary Medicine (D.V.M.),98.0,physiotherapy,campus-PT,Campus-PT
Angela Villegas,Bachelor of Science in Nursing (B.S.N.),99.0,dentistry,N/A-FT,Campus-FT
Gregory Wyatt,Doctor of Physical Therapy (D.P.T.),98.0,physiotherapy,N/A-PT,Campus-PT
Joseph Hoffman,Doctor of Physical Therapy (D.P.T.),99.0,immunology,campus-FT,Campus-FT
David West,Doctor of Physical Therapy (D.P.T.),63.0,None,campus-N/A,Campus-FT
Lisa Doyle,Doctor of Podiatric Medicine (D.P.M.),94.0,surgery,N/A-FT,Campus-FT
Brent Lawson,Bachelor of Science in Biomedical Science (B.S.),65.0,physiotherapy,online-N/A,Online-FT
Sherri Vazquez,Doctor of Chiropractic (D.C.),72.0,surgery,campus-N/A,Campus-FT
Justin Brown,Doctor of Podiatric Medicine (D.P.M.),96.0,physiotherapy,online-N/A,Online-FT
Joseph Blake,Doctor of Nursing Practice (D.N.P.),94.0,nutrition,N/A-PT,Campus-PT
David Lopez,Master of Health Administration (M.H.A.),65.0,physiotherapy,campus-PT,Campus-PT
Juan Lopez,Doctor of Optometry (O.D.),79.0,nursing,N/A-FT,Campus-FT
Michael Bennett,Bachelor of Science in Biomedical Science (B.S.),98.0,physiotherapy,online-FT,Online-FT
Anna Morgan,Master of Health Administration (M.H.A.),58.0,surgery,campus-N/A,Campus-FT
Nathan Diaz,Bachelor of Science in Biomedical Science (B.S.),65.0,physiotherapy,online-FT,Online-FT
Cheyenne Richards,Master of Public Health (M.P.H.),61.0,nursing,N/A-PT,Campus-PT
Ann Livingston,Doctor of Podiatric Medicine (D.P.M.),57.0,immunology,online-FT,Online-FT
Matthew Morton,Doctor of Osteopathic Medicine (D.O.),89.0,dentistry,N/A-FT,Campus-FT
Maria Roberts,Master of Public Health (M.P.H.),82.0,dentistry,N/A-N/A,Campus-FT
Brandi Garcia,Doctor of Dental Medicine (D.M.D.),99.0,physiotherapy,N/A-N/A,Campus-FT
Angela Mahoney,Doctor of Dental Medicine (D.M.D.),64.0,nursing,N/A-N/A,Campus-FT
Emily Graham,Doctor of Veterinary Medicine (D.V.M.),54.0,dentistry,online-N/A,Online-FT
Cindy Le,Doctor of Optometry (O.D.),78.0,None,online-N/A,Online-FT
Christopher Fernandez,Master of Public Health (M.P.H.),89.0,immunology,campus-PT,Campus-PT
Connie Wright,Doctor of Pharmacy (Pharm.D.),91.0,None,campus-N/A,Campus-FT
James Adams,Doctor of Veterinary Medicine (D.V.M.),50.0,physiotherapy,N/A-FT,Campus-FT
Ashley Mitchell,Doctor of Nursing Practice (D.N.P.),72.0,nutrition,online-N/A,Online-FT
Nicholas Kim Jr.,Doctor of Chiropractic (D.C.),91.0,nursing,campus-N/A,Campus-FT
Tricia Meyers,Doctor of Veterinary Medicine (D.V.M.),90.0,None,campus-FT,Campus-FT
Zachary Garrett,Doctor of Nursing Practice (D.N.P.),63.0,nursing,online-N/A,Online-FT
Debbie Paul,Doctor of Chiropractic (D.C.),64.0,surgery,N/A-N/A,Campus-FT
Judith Pena,Bachelor of Science in Biomedical Science (B.S.),94.0,physiotherapy,campus-FT,Campus-FT
Charles Harris,Doctor of Osteopathic Medicine (D.O.),88.0,nutrition,N/A-FT,Campus-FT
Joseph Evans,Bachelor of Science in Nursing (B.S.N.),93.0,None,online-PT,Online-PT
Sarah Young,Doctor of Nursing Practice (D.N.P.),63.0,None,campus-N/A,Campus-FT
Kyle Conway,Doctor of Podiatric Medicine (D.P.M.),68.0,dentistry,online-FT,Online-FT
Martha Chambers DDS,Doctor of Podiatric Medicine (D.P.M.),92.0,physiotherapy,campus-PT,Campus-PT
Robert Rodriguez,Doctor of Physical Therapy (D.P.T.),99.0,nutrition,online-FT,Online-FT
Amanda Castro,Doctor of Dental Medicine (D.M.D.),97.0,immunology,campus-N/A,Campus-FT
Austin Stone,Doctor of Dental Surgery (D.D.S.),79.0,physiotherapy,campus-PT,Campus-PT
Joseph Salazar,Doctor of Nursing Practice (D.N.P.),87.0,surgery,campus-PT,Campus-PT
Felicia Williams,Doctor of Medicine (M.D.),73.0,immunology,online-N/A,Online-FT
Misty Park DVM,Doctor of Podiatric Medicine (D.P.M.),81.0,None,online-PT,Online-PT
Christy Phillips,Bachelor of Science in Biomedical Science (B.S.),80.0,nutrition,campus-FT,Campus-FT
Joseph Lowe,Doctor of Medicine (M.D.),91.0,nutrition,campus-PT,Campus-PT
Robert Kaufman,Bachelor of Science in Biomedical Science (B.S.),59.0,dentistry,N/A-N/A,Campus-FT
Christopher Burnett,Master of Public Health (M.P.H.),93.0,nutrition,N/A-N/A,Campus-FT
Caleb Avery,Master of Health Administration (M.H.A.),100.0,immunology,campus-N/A,Campus-FT
Curtis Williams,Doctor of Dental Medicine (D.M.D.),52.0,physiotherapy,online-PT,Online-PT
Brian Rodriguez,Doctor of Chiropractic (D.C.),56.0,dentistry,campus-PT,Campus-PT
Michael Harris,Bachelor of Science in Nursing (B.S.N.),59.0,surgery,online-FT,Online-FT
Kayla Moore DDS,Bachelor of Science in Biomedical Science (B.S.),83.0,dentistry,campus-N/A,Campus-FT
Samuel Wheeler,Doctor of Osteopathic Medicine (D.O.),94.0,physiotherapy,campus-FT,Campus-FT
Jeffery Ray,Doctor of Dental Medicine (D.M.D.),87.0,physiotherapy,N/A-FT,Campus-FT
Mary Logan,Doctor of Pharmacy (Pharm.D.),53.0,immunology,campus-N/A,Campus-FT
Courtney Hernandez,Master of Public Health (M.P.H.),66.0,None,campus-PT,Campus-PT
Mary Montoya,Doctor of Chiropractic (D.C.),67.0,nursing,online-PT,Online-PT
Felicia Castillo,Master of Health Administration (M.H.A.),63.0,nutrition,N/A-FT,Campus-FT
Nicholas Bruce,Doctor of Nursing Practice (D.N.P.),96.0,immunology,online-N/A,Online-FT
Heather Watts,Doctor of Nursing Practice (D.N.P.),98.0,nutrition,online-FT,Online-FT
Michael Ramirez,Doctor of Podiatric Medicine (D.P.M.),79.0,immunology,N/A-N/A,Campus-FT
Abigail Anderson,Doctor of Medicine (M.D.),57.0,None,campus-FT,Campus-FT
Mr. Brad Perkins,Master of Public Health (M.P.H.),63.0,None,N/A-PT,Campus-PT
Abigail Moses,Doctor of Veterinary Medicine (D.V.M.),60.0,surgery,N/A-FT,Campus-FT
Francis Obrien,Master of Health Administration (M.H.A.),51.0,immunology,campus-FT,Campus-FT
William Byrd,Doctor of Podiatric Medicine (D.P.M.),61.0,None,campus-PT,Campus-PT
Mr. Kirk Banks,Doctor of Podiatric Medicine (D.P.M.),73.0,nutrition,campus-PT,Campus-PT
Ronald Parker,Doctor of Medicine (M.D.),61.0,nursing,online-FT,Online-FT
Kathleen Price,Doctor of Dental Surgery (D.D.S.),90.0,None,campus-FT,Campus-FT
Sharon Anderson,Doctor of Osteopathic Medicine (D.O.),79.0,nursing,online-N/A,Online-FT
Pamela Dawson,Master of Public Health (M.P.H.),81.0,physiotherapy,N/A-N/A,Campus-FT
Stephen Phillips,Master of Public Health (M.P.H.),100.0,dentistry,N/A-PT,Campus-PT
Mrs. Kayla Taylor MD,Doctor of Pharmacy (Pharm.D.),67.0,nursing,campus-PT,Campus-PT
Ann Andrade,Doctor of Nursing Practice (D.N.P.),84.0,surgery,online-N/A,Online-FT
Ryan Washington,Doctor of Pharmacy (Pharm.D.),98.0,nutrition,online-FT,Online-FT
Ashley Mills,Bachelor of Science in Nursing (B.S.N.),50.0,dentistry,N/A-PT,Campus-PT
Brendan Wallace,Doctor of Podiatric Medicine (D.P.M.),70.0,nutrition,online-FT,Online-FT
Melissa Hudson,Doctor of Medicine (M.D.),74.0,surgery,online-N/A,Online-FT
Marcus George,Doctor of Physical Therapy (D.P.T.),98.0,surgery,N/A-N/A,Campus-FT
Michael Harris,Doctor of Podiatric Medicine (D.P.M.),53.0,None,campus-FT,Campus-FT
Justin Young,Master of Public Health (M.P.H.),53.0,surgery,online-FT,Online-FT
Kristi Hart,Doctor of Medicine (M.D.),75.0,immunology,N/A-N/A,Campus-FT
Tim Kent,Doctor of Nursing Practice (D.N.P.),55.0,nursing,N/A-N/A,Campus-FT
Michelle Johnson PhD,Doctor of Osteopathic Medicine (D.O.),88.0,physiotherapy,N/A-PT,Campus-PT
Kelli Walker,Master of Public Health (M.P.H.),90.0,surgery,N/A-N/A,Campus-FT
Morgan Gray,Doctor of Dental Surgery (D.D.S.),60.0,dentistry,campus-FT,Campus-FT
Brianna Henry,Doctor of Physical Therapy (D.P.T.),69.0,dentistry,online-FT,Online-FT
Kathleen Harrington,Doctor of Nursing Practice (D.N.P.),89.0,surgery,campus-PT,Campus-PT
Frederick Blackburn,Doctor of Medicine (M.D.),64.0,None,online-PT,Online-PT
Megan Cooper,Doctor of Osteopathic Medicine (D.O.),91.0,nutrition,campus-FT,Campus-FT
Tina Rosales,Doctor of Pharmacy (Pharm.D.),70.0,physiotherapy,online-PT,Online-PT
William Flores,Bachelor of Science in Biomedical Science (B.S.),73.0,nutrition,campus-FT,Campus-FT
Brian Little,Doctor of Podiatric Medicine (D.P.M.),98.0,physiotherapy,N/A-FT,Campus-FT
Clayton Herrera,Doctor of Nursing Practice (D.N.P.),69.0,nursing,N/A-FT,Campus-FT
Joshua Kennedy,Master of Health Administration (M.H.A.),81.0,None,campus-FT,Campus-FT
Christopher Fowler,Doctor of Osteopathic Medicine (D.O.),79.0,dentistry,online-N/A,Online-FT
Melissa Jackson,Doctor of Chiropractic (D.C.),64.0,nutrition,campus-N/A,Campus-FT
William Hall,Bachelor of Science in Nursing (B.S.N.),77.0,dentistry,N/A-PT,Campus-PT
Kyle Smith,Doctor of Osteopathic Medicine (D.O.),62.0,dentistry,campus-N/A,Campus-FT
Randall Vasquez,Bachelor of Science in Nursing (B.S.N.),94.0,nutrition,N/A-N/A,Campus-FT
Mr. Matthew Bates,Doctor of Optometry (O.D.),68.0,nutrition,campus-PT,Campus-PT
Jeremy Bailey,Master of Health Administration (M.H.A.),51.0,immunology,N/A-N/A,Campus-FT
Lori Morris,Doctor of Osteopathic Medicine (D.O.),70.0,dentistry,online-N/A,Online-FT
Christopher Pineda,Doctor of Dental Medicine (D.M.D.),60.0,nutrition,online-FT,Online-FT
Stephanie Wright,Doctor of Veterinary Medicine (D.V.M.),96.0,nursing,online-FT,Online-FT
Mathew Martin,Doctor of Podiatric Medicine (D.P.M.),62.0,nutrition,campus-PT,Campus-PT
Daniel Beck,Master of Public Health (M.P.H.),82.0,nursing,campus-N/A,Campus-FT
Susan Drake,Doctor of Physical Therapy (D.P.T.),79.0,surgery,N/A-PT,Campus-PT
Mary Moran,Doctor of Chiropractic (D.C.),99.0,dentistry,N/A-PT,Campus-PT
Roy Moore,Doctor of Dental Medicine (D.M.D.),80.0,immunology,N/A-FT,Campus-FT
Edward Silva,Doctor of Physical Therapy (D.P.T.),61.0,dentistry,online-FT,Online-FT
Victoria Hendricks,Master of Public Health (M.P.H.),52.0,nutrition,online-PT,Online-PT
Wendy Garcia,Doctor of Dental Surgery (D.D.S.),89.0,surgery,campus-PT,Campus-PT
Brandy Cameron,Bachelor of Science in Biomedical Science (B.S.),55.0,immunology,N/A-N/A,Campus-FT
Virginia Chavez,Doctor of Dental Surgery (D.D.S.),87.0,physiotherapy,N/A-N/A,Campus-FT
Amber Lopez,Doctor of Medicine (M.D.),93.0,nutrition,online-PT,Online-PT
Antonio Moore,Doctor of Dental Surgery (D.D.S.),97.0,nursing,N/A-PT,Campus-PT
Allison Young MD,Master of Public Health (M.P.H.),64.0,nursing,N/A-N/A,Campus-FT
Phillip Rogers,Bachelor of Science in Biomedical Science (B.S.),52.0,dentistry,online-FT,Online-FT
David Warren,Bachelor of Science in Biomedical Science (B.S.),82.0,dentistry,N/A-FT,Campus-FT
Charles Carpenter,Doctor of Physical Therapy (D.P.T.),58.0,surgery,N/A-PT,Campus-PT
Barbara Thornton,Doctor of Veterinary Medicine (D.V.M.),81.0,immunology,campus-FT,Campus-FT
Eric Travis,Doctor of Osteopathic Medicine (D.O.),100.0,nursing,campus-FT,Campus-FT
Whitney Jackson,Doctor of Osteopathic Medicine (D.O.),85.0,immunology,N/A-FT,Campus-FT
Christopher Rojas,Doctor of Veterinary Medicine (D.V.M.),50.0,dentistry,N/A-N/A,Campus-FT
James Brown,Doctor of Veterinary Medicine (D.V.M.),71.0,surgery,campus-PT,Campus-PT
Angel Pearson,Master of Health Administration (M.H.A.),57.0,surgery,campus-N/A,Campus-FT
Rebekah Greene,Bachelor of Science in Biomedical Science (B.S.),93.0,physiotherapy,online-FT,Online-FT
Michelle Banks,Doctor of Optometry (O.D.),88.0,nursing,N/A-PT,Campus-PT
Austin Smith,Doctor of Dental Medicine (D.M.D.),87.0,surgery,online-FT,Online-FT
David George,Doctor of Osteopathic Medicine (D.O.),98.0,surgery,N/A-N/A,Campus-FT
George Espinoza,Doctor of Dental Surgery (D.D.S.),95.0,nutrition,campus-PT,Campus-PT
Sara Garcia,Doctor of Pharmacy (Pharm.D.),96.0,surgery,N/A-PT,Campus-PT
Samantha Dyer,Doctor of Physical Therapy (D.P.T.),62.0,None,online-PT,Online-PT
Andrew Stark,Doctor of Medicine (M.D.),60.0,physiotherapy,online-N/A,Online-FT
Debra Coleman,Bachelor of Science in Nursing (B.S.N.),92.0,physiotherapy,campus-FT,Campus-FT
Nicole Jenkins,Doctor of Medicine (M.D.),97.0,None,online-N/A,Online-FT
Gary Morse,Bachelor of Science in Biomedical Science (B.S.),83.0,nursing,N/A-N/A,Campus-FT
Brandon Williams,Doctor of Osteopathic Medicine (D.O.),71.0,immunology,online-N/A,Online-FT
David Wilson,Master of Health Administration (M.H.A.),84.0,nutrition,campus-FT,Campus-FT
Kevin Booth,Master of Health Administration (M.H.A.),62.0,nursing,campus-FT,Campus-FT
Christopher Wise,Doctor of Nursing Practice (D.N.P.),55.0,surgery,N/A-FT,Campus-FT
Judy Mueller,Doctor of Physical Therapy (D.P.T.),66.0,surgery,N/A-N/A,Campus-FT
John Keller,Doctor of Dental Medicine (D.M.D.),99.0,dentistry,N/A-FT,Campus-FT
Diane Smith,Doctor of Dental Medicine (D.M.D.),90.0,surgery,N/A-PT,Campus-PT
Ryan Savage,Doctor of Chiropractic (D.C.),51.0,immunology,campus-FT,Campus-FT
Patrick Clark,Doctor of Osteopathic Medicine (D.O.),88.0,immunology,N/A-N/A,Campus-FT
Beth Patel,Doctor of Osteopathic Medicine (D.O.),76.0,None,online-FT,Online-FT
Emily Wright,Doctor of Nursing Practice (D.N.P.),71.0,physiotherapy,campus-FT,Campus-FT
Danielle Alvarado,Doctor of Pharmacy (Pharm.D.),71.0,surgery,online-PT,Online-PT
Jeremy Berry,Doctor of Chiropractic (D.C.),86.0,nutrition,N/A-N/A,Campus-FT
Cathy Phillips,Bachelor of Science in Biomedical Science (B.S.),85.0,None,N/A-FT,Campus-FT
Jill Evans,Doctor of Nursing Practice (D.N.P.),95.0,nutrition,N/A-N/A,Campus-FT
Brian Gonzales,Doctor of Podiatric Medicine (D.P.M.),75.0,nursing,N/A-PT,Campus-PT
Brittany Brown,Master of Public Health (M.P.H.),88.0,nutrition,campus-N/A,Campus-FT
Thomas Howell,Master of Public Health (M.P.H.),100.0,immunology,N/A-N/A,Campus-FT
Eric Salas,Doctor of Podiatric Medicine (D.P.M.),93.0,dentistry,campus-PT,Campus-PT
Robert Jordan,Doctor of Pharmacy (Pharm.D.),98.0,dentistry,N/A-N/A,Campus-FT
John Rodriguez,Doctor of Optometry (O.D.),64.0,None,online-FT,Online-FT
Joseph Duncan,Doctor of Chiropractic (D.C.),93.0,immunology,N/A-N/A,Campus-FT
Raymond Becker,Doctor of Veterinary Medicine (D.V.M.),92.0,surgery,online-PT,Online-PT
Alicia Colon,Master of Public Health (M.P.H.),90.0,nutrition,campus-N/A,Campus-FT
Brian Soto,Bachelor of Science in Nursing (B.S.N.),84.0,physiotherapy,N/A-N/A,Campus-FT
Juan Gomez,Doctor of Veterinary Medicine (D.V.M.),83.0,surgery,campus-N/A,Campus-FT
Matthew Ford,Doctor of Dental Medicine (D.M.D.),95.0,nutrition,campus-FT,Campus-FT
Gary Brown,Bachelor of Science in Nursing (B.S.N.),90.0,surgery,N/A-N/A,Campus-FT
Joel Reed,Doctor of Veterinary Medicine (D.V.M.),75.0,surgery,N/A-N/A,Campus-FT
Tina Raymond,Doctor of Physical Therapy (D.P.T.),80.0,dentistry,online-N/A,Online-FT
Cindy Barajas,Doctor of Dental Surgery (D.D.S.),82.0,surgery,online-PT,Online-PT
Linda Goodman,Doctor of Dental Medicine (D.M.D.),72.0,dentistry,N/A-FT,Campus-FT
Lisa Richards,Doctor of Physical Therapy (D.P.T.),61.0,nutrition,online-FT,Online-FT
Jason Tran,Doctor of Dental Surgery (D.D.S.),92.0,dentistry,online-PT,Online-PT
Karen Shepard,Doctor of Podiatric Medicine (D.P.M.),84.0,physiotherapy,online-N/A,Online-FT
Dr. Jennifer Brown,Doctor of Dental Medicine (D.M.D.),87.0,nursing,campus-FT,Campus-FT
Joseph Mullins,Doctor of Dental Surgery (D.D.S.),83.0,dentistry,campus-FT,Campus-FT
Dustin Ramos MD,Doctor of Physical Therapy (D.P.T.),96.0,surgery,online-FT,Online-FT
Karl Baker,Doctor of Pharmacy (Pharm.D.),97.0,None,N/A-FT,Campus-FT
Cassidy Freeman,Doctor of Osteopathic Medicine (D.O.),63.0,physiotherapy,N/A-PT,Campus-PT
Johnny Villa,Doctor of Chiropractic (D.C.),78.0,dentistry,campus-PT,Campus-PT
Amanda Jacobs,Doctor of Physical Therapy (D.P.T.),67.0,dentistry,campus-N/A,Campus-FT
Andrew Hull,Doctor of Medicine (M.D.),85.0,None,online-FT,Online-FT
Stacy Anderson,Doctor of Podiatric Medicine (D.P.M.),77.0,dentistry,online-FT,Online-FT
Gary Rice,Doctor of Optometry (O.D.),64.0,None,online-N/A,Online-FT
Jennifer Manning,Doctor of Veterinary Medicine (D.V.M.),76.0,physiotherapy,online-FT,Online-FT
John Lee,Doctor of Podiatric Medicine (D.P.M.),62.0,nursing,N/A-PT,Campus-PT
Paul Smith,Doctor of Physical Therapy (D.P.T.),98.0,surgery,online-PT,Online-PT
Howard Heath,Bachelor of Science in Nursing (B.S.N.),93.0,dentistry,online-FT,Online-FT
Duane Green,Doctor of Osteopathic Medicine (D.O.),59.0,dentistry,N/A-FT,Campus-FT
Nicole Moore,Doctor of Dental Medicine (D.M.D.),55.0,physiotherapy,campus-PT,Campus-PT
Kimberly Johnson,Doctor of Podiatric Medicine (D.P.M.),92.0,dentistry,campus-N/A,Campus-FT
Beth Escobar,Doctor of Nursing Practice (D.N.P.),85.0,None,N/A-PT,Campus-PT
Derek Miller,Doctor of Dental Medicine (D.M.D.),96.0,dentistry,online-N/A,Online-FT
Olivia Oneill,Doctor of Nursing Practice (D.N.P.),98.0,nursing,online-N/A,Online-FT
Corey Rivera,Doctor of Dental Medicine (D.M.D.),79.0,nursing,N/A-PT,Campus-PT
Wayne Rivera,Doctor of Physical Therapy (D.P.T.),77.0,immunology,campus-FT,Campus-FT
Judith Huang,Doctor of Pharmacy (Pharm.D.),69.0,physiotherapy,campus-N/A,Campus-FT
Robert Lopez,Doctor of Podiatric Medicine (D.P.M.),85.0,None,N/A-FT,Campus-FT
Marcus Wells,Doctor of Pharmacy (Pharm.D.),80.0,nutrition,online-N/A,Online-FT
Kristopher Stein MD,Bachelor of Science in Biomedical Science (B.S.),60.0,None,campus-N/A,Campus-FT
Valerie Smith,Doctor of Physical Therapy (D.P.T.),63.0,physiotherapy,N/A-FT,Campus-FT
Alicia Robinson,Doctor of Medicine (M.D.),63.0,None,online-PT,Online-PT
Brittany Mcfarland,Doctor of Dental Medicine (D.M.D.),68.0,nursing,campus-N/A,Campus-FT
Melissa Bell,Doctor of Veterinary Medicine (D.V.M.),87.0,nursing,campus-PT,Campus-PT
Claire Bautista,Doctor of Dental Surgery (D.D.S.),60.0,nursing,N/A-FT,Campus-FT
Jeffrey Nelson,Doctor of Veterinary Medicine (D.V.M.),93.0,None,online-N/A,Online-FT
Samantha Thomas,Doctor of Pharmacy (Pharm.D.),72.0,physiotherapy,campus-N/A,Campus-FT
Tammy Brown,Doctor of Chiropractic (D.C.),68.0,dentistry,online-N/A,Online-FT
Madison Rivera,Doctor of Veterinary Medicine (D.V.M.),68.0,surgery,N/A-FT,Campus-FT
Victoria Hernandez,Doctor of Medicine (M.D.),52.0,immunology,N/A-FT,Campus-FT
Anthony Khan DVM,Doctor of Chiropractic (D.C.),62.0,nutrition,campus-N/A,Campus-FT
Anthony Phillips,Doctor of Physical Therapy (D.P.T.),81.0,nursing,campus-PT,Campus-PT
Kimberly Mcdaniel,Master of Health Administration (M.H.A.),57.0,nursing,online-PT,Online-PT
Shannon Allen,Bachelor of Science in Nursing (B.S.N.),58.0,physiotherapy,online-FT,Online-FT
Morgan Garcia,Doctor of Pharmacy (Pharm.D.),59.0,surgery,campus-FT,Campus-FT
Jason Bradley,Master of Public Health (M.P.H.),77.0,immunology,campus-FT,Campus-FT
Deborah Schultz,Doctor of Osteopathic Medicine (D.O.),92.0,dentistry,N/A-PT,Campus-PT
